,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
105,Malta,149.0,100.0,120.0,6.6,Europe
106,Marshall Islands,0.0,0.0,0.0,0.0,Oceania
107,Mauritania,0.0,0.0,0.0,0.0,Africa
108,Mauritius,98.0,31.0,18.0,2.6,Africa
109,Mexico,238.0,68.0,5.0,5.5,North America
110,Micronesia,62.0,50.0,18.0,2.3,Oceania
111,Monaco,0.0,0.0,0.0,0.0,Europe
112,Mongolia,77.0,189.0,8.0,4.9,Asia
113,Montenegro,31.0,114.0,128.0,4.9,Europe
114,Morocco,12.0,6.0,9.0,0.5,Africa
115,Mozambique,47.0,18.0,5.0,1.3,Africa
116,Myanmar,5.0,1.0,0.0,0.1,Asia
117,Namibia,376.0,3.0,1.0,6.8,Africa
118,Nauru,49.0,0.0,8.0,1.0,Oceania
119,Nepal,5.0,6.0,0.0,0.2,Asia
120,Netherlands,251.0,88.0,190.0,9.4,Europe
121,New Zealand,203.0,79.0,175.0,9.3,Oceania
122,Nicaragua,78.0,60.0,1.0,3.5,North America
123,Niger,3.0,2.0,1.0,0.1,Africa
124,Nigeria,42.0,5.0,2.0,9.1,Africa
125,Niue,188.0,200.0,7.0,7.0,Oceania
126,Norway,169.0,71.0,129.0,6.7,Europe
127,Oman,22.0,16.0,1.0,0.7,Asia
128,Pakistan,0.0,0.0,0.0,0.0,Asia
129,Palau,306.0,63.0,23.0,6.9,Oceania
130,Panama,285.0,104.0,18.0,7.2,North America
131,Papua New Guinea,44.0,39.0,1.0,1.5,Oceania
132,Paraguay,213.0,117.0,74.0,7.3,South America
133,Peru,163.0,160.0,21.0,6.1,South America
134,Philippines,76.0,186.0,1.0,4.6,Asia
135,Poland,343.0,215.0,56.0,10.9,Europe
136,Portugal,194.0,60.0,339.0,11.0,Europe
137,Qatar,1.0,42.0,7.0,0.9,Asia
138,South Korea,140.0,16.0,9.0,9.8,Asia
139,Moldova,109.0,226.0,18.0,6.3,Europe
140,Romania,297.0,122.0,167.0,10.4,Europe
141,Russian Federation,247.0,326.0,73.0,11.5,Asia
142,Rwanda,43.0,2.0,0.0,6.8,Africa
143,St. Kitts & Nevis,194.0,205.0,32.0,7.7,North America
144,St. Lucia,171.0,315.0,71.0,10.1,North America
145,St. Vincent & the Grenadines,120.0,221.0,11.0,6.3,North America
146,Samoa,105.0,18.0,24.0,2.6,Oceania
147,San Marino,0.0,0.0,0.0,0.0,Europe
148,Sao Tome & Principe,56.0,38.0,9.0,4.2,Africa
149,Saudi Arabia,76.0,5.0,0.0,0.1,Asia
150,Senegal,9.0,1.0,7.0,0.3,Africa
151,Serbia,283.0,131.0,127.0,9.6,Europe
152,Seychelles,157.0,25.0,51.0,4.1,Africa
153,Sierra Leone,25.0,3.0,2.0,6.7,Africa
154,Singapore,60.0,12.0,11.0,1.5,Asia
155,Slovakia,196.0,293.0,116.0,11.4,Europe
156,Slovenia,270.0,51.0,276.0,10.6,Europe
157,Solomon Islands,56.0,11.0,1.0,1.2,Oceania
158,Somalia,0.0,0.0,0.0,0.0,Africa
159,South Africa,225.0,76.0,81.0,8.2,Africa
160,Spain,284.0,157.0,112.0,10.0,Europe
161,Sri Lanka,16.0,104.0,0.0,2.2,Asia
162,Sudan,8.0,13.0,0.0,1.7,Africa
163,Suriname,128.0,178.0,7.0,5.6,South America
164,Swaziland,90.0,60.0,2.0,4.7,Africa
165,Sweden,152.0,60.0,186.0,7.2,Europe
166,Switzerland,185.0,100.0,280.0,10.2,Europe
167,Syria,5.0,35.0,16.0,1.0,Asia
168,Tajikistan,2.0,15.0,0.0,0.3,Asia
169,Thailand,99.0,258.0,1.0,6.4,Asia
170,Macedonia,106.0,27.0,86.0,3.9,Europe
171,Timor-Leste,1.0,1.0,4.0,0.1,Asia
172,Togo,36.0,2.0,19.0,1.3,Africa
173,Tonga,36.0,21.0,5.0,1.1,Oceania
174,Trinidad & Tobago,197.0,156.0,7.0,6.4,North America
175,Tunisia,51.0,3.0,20.0,1.3,Africa
176,Turkey,51.0,22.0,7.0,1.4,Asia
177,Turkmenistan,19.0,71.0,32.0,2.2,Asia
178,Tuvalu,6.0,41.0,9.0,1.0,Oceania
179,Uganda,45.0,60.0,0.0,8.3,Africa
180,Ukraine,206.0,237.0,45.0,8.9,Europe
181,United Arab Emirates,16.0,135.0,5.0,2.8,Asia
182,United Kingdom,219.0,126.0,195.0,10.4,Europe
183,Tanzania,36.0,6.0,1.0,5.7,Africa
184,USA,249.0,158.0,84.0,8.7,North America
185,Uruguay,115.0,35.0,220.0,6.6,South America
186,Uzbekistan,25.0,101.0,9.0,2.4,Asia
187,Vanuatu,21.0,18.0,11.0,0.9,Oceania
188,Venezuela,76.0,100.0,3.0,7.7,South America
189,Vietnam,111.0,2.0,1.0,2.0,Asia
190,Yemen,6.0,0.0,0.0,0.1,Asia
191,Zambia,32.0,19.0,4.0,2.5,Africa
192,Zimbabwe,64.0,18.0,4.0,4.7,Africa
